metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1780444829,1.000000,,,,true,,GET,http://54.233.192.84:8080/api/io,HTTP/1.1,warmup,,200,,,http://54.233.192.84:8080/api/io,phase=warmup,
http_req_duration,1780444829,106.861710,,,,true,,GET,http://54.233.192.84:8080/api/io,HTTP/1.1,warmup,,200,,,http://54.233.192.84:8080/api/io,phase=warmup,
http_req_blocked,1780444829,13.125020,,,,true,,GET,http://54.233.192.84:8080/api/io,HTTP/1.1,warmup,,200,,,http://54.233.192.84:8080/api/io,phase=warmup,
http_req_connecting,1780444829,13.102545,,,,true,,GET,http://54.233.192.84:8080/api/io,HTTP/1.1,warmup,,200,,,http://54.233.192.84:8080/api/io,phase=warmup,
http_req_tls_handshaking,1780444829,0.000000,,,,true,,GET,http://54.233.192.84:8080/api/io,HTTP/1.1,warmup,,200,,,http://54.233.192.84:8080/api/io,phase=warmup,
http_req_sending,1780444829,0.684427,,,,true,,GET,http://54.233.192.84:8080/api/io,HTTP/1.1,warmup,,200,,,http://54.233.192.84:8080/api/io,phase=warmup,
http_req_waiting,1780444829,106.089645,,,,true,,GET,http://54.233.192.84:8080/api/io,HTTP/1.1,warmup,,200,,,http://54.233.192.84:8080/api/io,phase=warmup,
http_req_receiving,1780444829,0.087638,,,,true,,GET,http://54.233.192.84:8080/api/io,HTTP/1.1,warmup,,200,,,http://54.233.192.84:8080/api/io,phase=warmup,
http_req_failed,1780444829,0.000000,,,,true,,GET,http://54.233.192.84:8080/api/io,HTTP/1.1,warmup,,200,,,http://54.233.192.84:8080/api/io,phase=warmup,
http_reqs,1780444829,1.000000,,,,true,,GET,http://54.233.192.84:8080/api/io,HTTP/1.1,warmup,,200,,,http://54.233.192.84:8080/api/io,phase=warmup,
http_req_duration,1780444829,107.447388,,,,true,,GET,http://54.233.192.84:8080/api/io,HTTP/1.1,warmup,,200,,,http://54.233.192.84:8080/api/io,phase=warmup,
http_req_blocked,1780444829,12.484304,,,,true,,GET,http://54.233.192.84:8080/api/io,HTTP/1.1,warmup,,200,,,http://54.233.192.84:8080/api/io,phase=warmup,
http_req_connecting,1780444829,12.441972,,,,true,,GET,http://54.233.192.84:8080/api/io,HTTP/1.1,warmup,,200,,,http://54.233.192.84:8080/api/io,phase=warmup,
