timestamp,duration_ms
1779064302,235.368290
1779064302,235.957937
1779064302,237.109147
1779064302,237.528693
1779064302,237.230382
1779064302,105.940583
1779064302,104.248526
1779064302,112.097152
1779064302,106.528815
1779064302,106.532300
1779064302,106.523052
1779064302,111.016060
1779064302,108.166270
1779064302,108.098861
1779064302,105.601142
1779064302,108.418656
1779064302,105.579717
1779064302,108.372238
1779064302,105.721952
1779064302,108.316055
1779064302,107.864112
1779064302,105.693957
1779064302,107.967652
1779064302,105.735743
1779064302,107.049142
1779064302,108.971467
1779064302,104.707111
1779064302,104.137351
1779064302,107.470746
1779064302,107.570066
1779064302,105.252869
1779064302,104.511460
1779064302,105.526633
1779064302,110.262286
1779064302,110.411151
1779064302,105.693228
1779064302,110.753109
1779064302,109.172414
1779064302,110.987588
1779064302,111.178295
1779064302,107.540939
1779064302,112.481687
1779064302,112.379487
1779064302,111.761148
1779064302,109.838642
1779064302,111.927810
1779064302,114.058469
1779064302,112.489882
1779064302,109.748206
1779064302,114.339335
1779064302,114.247430
1779064302,112.779262
1779064302,110.186194
1779064302,110.341366
1779064302,110.309207
1779064302,110.459619
1779064302,110.424269
1779064302,109.533705
1779064302,110.535088
1779064302,109.652137
1779064302,109.827948
1779064302,109.918543
1779064302,109.346854
1779064303,110.032338
1779064303,114.514602
1779064303,111.404583
1779064303,111.553930
1779064303,108.804651
1779064303,108.715734
1779064303,111.550844
1779064303,108.988309
1779064303,111.602473
1779064303,111.559997
1779064303,111.351764
1779064303,108.661006
1779064303,109.005296
1779064303,111.490919
1779064303,108.931975
1779064303,111.629827
1779064303,110.270747
1779064303,110.165076
1779064303,112.743357
1779064303,115.746827
1779064303,115.656706
1779064303,115.881151
1779064303,113.731858
1779064303,116.145664
1779064303,113.738042
1779064303,116.130630
1779064303,115.595820
1779064303,113.484717
1779064303,116.393362
1779064303,114.024453
1779064303,113.811385
1779064303,111.396374
1779064303,114.014650
1779064303,111.409354
1779064303,111.259202
1779064303,115.063299
1779064303,116.891652
1779064303,117.010543
1779064303,116.074691
1779064303,115.115009
1779064303,111.307127
1779064303,112.526424
1779064303,111.925430
1779064303,112.228268
1779064303,112.281359
1779064303,112.373807
1779064303,120.887831
1779064303,116.344181
1779064303,116.575401
1779064303,117.821374
1779064303,121.775647
1779064303,114.737175
1779064303,112.965728
1779064303,117.943796
1779064303,118.353947
1779064303,122.903491
1779064303,113.776819
1779064303,115.637972
1779064303,117.028047
1779064303,113.435684
1779064303,115.800812
1779064303,114.358988
1779064303,119.175977
1779064303,122.917093
1779064303,119.025767
1779064303,123.264185
1779064303,114.013442
1779064303,119.821105
1779064303,134.999596
1779064303,124.826490
1779064303,123.880346
1779064303,124.979314
1779064303,123.779051
1779064303,123.462047
1779064303,117.296779
1779064303,123.611935
1779064303,123.894887
1779064303,124.253822
1779064303,122.335105
1779064303,124.106689
1779064303,123.436621
1779064303,124.245307
1779064303,124.042430
1779064303,124.408668
1779064303,122.665944
1779064303,124.581229
1779064303,122.786062
1779064303,123.122538
1779064303,124.870776
1779064303,123.255943
1779064303,125.726431
1779064303,124.925071
1779064303,115.369544
1779064303,123.438959
1779064303,117.796880
1779064303,125.242539
1779064303,115.338010
1779064303,123.701572
1779064303,123.900575
1779064303,115.486692
1779064303,124.197694
1779064303,118.538699
1779064303,115.427241
1779064303,125.236431
1779064303,121.117699
1779064303,125.314143
1779064303,118.426082
1779064303,118.635039
1779064303,119.090670
1779064303,125.841535
1779064303,119.318404
1779064303,124.730496
1779064303,121.981698
1779064303,119.552361
1779064303,119.298123
1779064303,126.599986
1779064303,119.374194
1779064303,120.272115
1779064303,126.808287
1779064303,120.201000
1779064303,120.322979
1779064303,125.369485
1779064303,119.828527
1779064303,120.715320
1779064303,127.326954
1779064303,120.970975
1779064303,123.722683
1779064303,127.902483
1779064303,118.141239
1779064303,123.841175
1779064303,121.428211
1779064303,126.858409
1779064303,124.795479
1779064303,126.882943
1779064303,121.324815
1779064303,121.812016
1779064303,128.569217
1779064303,121.762015
1779064303,125.248412
1779064303,119.039778
1779064303,118.495511
1779064303,129.266174
1779064303,116.210730
1779064303,119.356400
1779064303,114.991287
1779064303,120.322272
1779064303,129.487961
1779064303,122.753285
1779064303,115.130798
1779064303,123.181090
1779064303,124.357979
1779064303,123.093437
1779064303,129.898717
1779064303,119.389199
1779064303,123.436657
1779064303,123.005120
1779064303,126.428063
1779064303,126.753379
1779064303,120.300383
1779064303,123.204368
1779064303,130.721668
1779064303,123.377756
1779064303,117.390884
1779064303,131.195190
1779064303,124.018788
1779064303,123.747964
1779064303,127.607563
1779064303,124.500323
1779064303,131.241442
1779064303,120.255645
1779064303,124.452732
1779064303,117.918345
1779064303,117.137375
1779064303,131.707903
1779064303,121.763455
1779064303,122.650238
1779064303,118.175780
1779064303,122.814837
1779064303,125.072619
1779064303,132.587557
1779064303,122.919701
1779064303,132.576953
1779064303,122.379703
1779064303,125.404858
1779064303,132.783659
1779064303,126.514090
1779064303,125.570315
1779064303,129.441218
1779064303,132.872135
1779064303,122.637563
1779064303,133.126660
